Product_sku_0,Place_name_0,Total_Price_0,Price_per_meter_0,Land_Area_0,Certificate_0,Land_Dimensions_0,Property_Type_0,Ad_Type_0,Place_PostalAddress_addressLocality_0,BreadcrumbList_ListItem_name_2,BreadcrumbList_ListItem_name_3,Product_description_0
,"Tanah Lokasi Premium Kawasan Senen, Luas 285m2m², Akses ke Pusat Kota","Rp3,85 Miliar Total",lebih hemat,LT285 m²,SHM,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"LOKASI STRATEGIS! Tanah Kawasan Menteng, Luas 996m², Lokasi Berkembang, Cocok untuk Hunian","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"For Sale Tanah Kawasan Wahid Hasyim, Luas 2303m², Area Berkembang",Rp287 Miliar Total,Harga per m² Rp.125 Juta,LT2303 m²,Lainnya,,,,"Wahid Hasyim, Jakarta Pusat",Jakarta Pusat,Wahid Hasyim,
,"Dijual Tanah Area Berkembang Kawasan Menteng, Luas 996m², Dekat Menteng, Jakarta Pusat, Jakarta Pusat","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah di Gajah Mada, Luas 3593m², Kawasan Bisnis",Rp144 Miliar Total,Harga per m² Rp.40 Juta,LT3593 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Tanah di Senen, Luas 4241m², Lokasi Premium, Cocok untuk Perumahan",Rp159 Miliar Total,"Harga per m² Rp.37,4 Juta",LT4241 m²,SHM,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Area Berkembang Kawasan Senen, Luas 4241m², Dekat ke Pusat Kota",Rp674 Triliun Total,Harga per m² Rp.159 Miliar,LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,For Sale Ring 1 Menteng Tanah/Kavling,"Rp84,6 Miliar Total","Harga per m² Rp.84,9 Juta",LT996 m²,SHM,,,,"Menteng , Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah di Gajah Mada, Luas 3593m², Area Komersial",Rp143 Miliar Total,Harga per m² Rp.40 Juta,LT3593 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"For Sale Tanah di Cempaka Putih, Luas 604m², Area Potensial","Rp9,06 Miliar Total",Harga per m² Rp.15 Juta,LT604 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"Tanah Area Prospektif Kawasan Menteng, Luas 996m², Akses ke Pusat Kota, Lingkungan Nyaman","Rp84,6 Miliar Total","Harga per m² Rp.84,9 Juta",LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Dijual Tanah Kawasan Bisnis Kawasan Menteng, Luas 210m², Potensi Bagus",Rp15 Miliar Total,"Harga per m² Rp.71,4 Juta",LT210 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah di Menteng, Luas 1088m², Dekat Jalan Utama",Rp78 Miliar Total,lebih hemat,LT1088 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Premium di Menteng Atas, Luas 4320m², Akses Menteng Atas, Jakarta Pusat, Jakarta Pusat",Rp64 Miliar Total,"Harga per m² Rp.14,8 Juta",LT4320 m²,Lainnya,,,,"Menteng Atas, Jakarta Pusat",Jakarta Pusat,Menteng Atas,
,"Tanah di Sawah Besar, Luas 462m², Kawasan Bisnis","Rp16,6 Miliar Total","Harga per m² Rp.35,9 Juta",LT462 m²,SHM,,,,"Sawah Besar, Jakarta Pusat",Jakarta Pusat,Sawah Besar,
,"Tanah Kawasan Menteng, Luas 370m², Akses Mudah",Rp17 Miliar Total,lebih hemat,LT370 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Dijual Tanah Area Berkembang di Kemayoran, Luas 468m², Akses Kemayoran, Jakarta Pusat, Jakarta Pusat","Rp8,79 Miliar Total",lebih hemat,LT468 m²,Lainnya,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"Tanah Kawasan Menteng, Luas 640m², Akses Jalan Raya",Rp60 Miliar Total,"Harga per m² Rp.93,7 Juta",LT640 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Strategis Kawasan Menteng, Luas 1012m², Dekat Menteng, Jakarta Pusat, Jakarta Pusat",Rp126 Miliar Total,Harga per m² Rp.124 Juta,LT1012 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Lokasi Potensial Kawasan Kemayoran, Luas 45m², Akses ke Pusat Kota, Lingkungan Nyaman",Rp550 Juta Total,"Harga per m² Rp.12,2 Juta",LT45 m²,SHM,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"HARGA TERBAIK! Tanah di Kemayoran, Luas 138m², Area Strategis",Rp1 Miliar Total,lebih hemat,LT138 m²,SHM,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"Dijual Tanah di Senen, Luas 682m², Area Strategis, Kontur Datar","Rp9,2 Triliun Total","Harga per m² Rp.13,5 Miliar",LT682 m²,SHM,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Dijual Tanah Area Strategis di Senen, Luas 4241m², Cocok untuk Pengembangan",Rp152 Miliar Total,Harga per m² Rp.36 Juta,LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Jual Tanah Lokasi Strategis Kawasan Tanah Abang, Luas 1163m², Dekat Transportasi","Rp10,5 Miliar Total","Harga per m² Rp.9,03 Juta",LT1163 m²,Lainnya,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"Dijual Tanah Area Berkembang Kawasan Menteng, Luas 1019m², Lingkungan Nyaman",Rp95 Miliar Total,"Harga per m² Rp.93,2 Juta",LT1019 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Premium di Senen, Luas 1849m², Ideal untuk Perumahan",Rp38 Miliar Total,"Harga per m² Rp.20,5 Juta",LT1849 m²,HGB,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Dijual Tanah di Menteng, Luas 569m², Dekat Pusat Kota","Rp51,2 Miliar Total",Harga per m² Rp.90 Juta,LT569 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah di Petojo, Luas 229m², Lokasi Potensial, Lingkungan Nyaman, Bebas Banjir","Rp4,3 Miliar Total",lebih hemat,LT229 m²,SHM,,,,"Petojo, Jakarta Pusat",Jakarta Pusat,Petojo,
,"LOKASI STRATEGIS! Tanah di Menteng, Luas 2975m², Area Nyaman, Cocok untuk Hunian",Rp267 Miliar Total,lebih hemat,LT2975 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Dijual Tanah Kawasan Menteng, Luas 633m², Area Potensial",Rp17 Miliar Total,"Harga per m² Rp.26,8 Juta",LT633 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah di Cempaka Putih, Luas 250m², Area Potensial, Lingkungan Nyaman","Rp3,7 Miliar Total",lebih hemat,LT250 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"Jual Tanah Lokasi Prima Kawasan Tanah Abang, Luas 6000m², Akses Tanah Abang, Jakarta Pusat, Jakarta Pusat",Rp450 Miliar Total,Harga per m² Rp.75 Juta,LT6000 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"Tanah Komersial Kawasan Pejompongan, Luas 117m², Akses Mudah","Rp3,65 Miliar Total","Harga per m² Rp.31,2 Juta",LT117 m²,SHM,,,,"Pejompongan, Jakarta Pusat",Jakarta Pusat,Pejompongan,
,"Dijual Tanah di Kemayoran, Luas 828m², Area Berkembang","Rp8,8 Miliar Total","Harga per m² Rp.10,6 Juta",LT828 m²,SHM,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"PRIME LOCATION! Tanah Kawasan Gajah Mada, Luas 3593m², Cocok untuk Investasi",Rp143 Miliar Total,Harga per m² Rp.40 Juta,LT3593 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Tanah Area Strategis di Samanhudi, Luas 600m², Ideal untuk Bisnis","Rp38,5 Miliar Total","Harga per m² Rp.64,1 Juta",LT600 m²,Lainnya,,,,"Samanhudi, Jakarta Pusat",Jakarta Pusat,Samanhudi,
,"PRIME LOCATION! Tanah Kawasan Kemayoran, Luas 220m², Cocok untuk Investasi","Rp1,7 Miliar Total","Harga per m² Rp.7,72 Juta",LT220 m²,SHM,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"Tanah Komersial di Tanah Abang, Luas 388m², Pinggir Jalan","Rp19,5 Miliar Total","Harga per m² Rp.50,2 Juta",LT388 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"Jual Tanah di Kemayoran, Luas 1046m², Lokasi Strategis, Kontur Rata",Rp8 Miliar Total,"Harga per m² Rp.7,64 Juta",LT1046 m²,SHM,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"Dijual Tanah Area Premium Kawasan , Luas 1669m2m², Prospek Tinggi",Rp55 Miliar Total,"Harga per m² Rp.32,9 Juta",LT1669 m²,Lainnya,,,,"Cideng, Jakarta Pusat",Jakarta Pusat,gambir,
,"Tanah Kawasan Bisnis di Menteng, Luas 1012m², Ideal untuk Usaha","Rp75,9 Miliar Total",lebih hemat,LT1012 m²,Hak Sewa,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"HARGA MENARIK! Tanah di Johar Baru, Luas 300m², Lokasi Potensial, Bebas Longsor","Rp5,34 Miliar Total","Harga per m² Rp.17,8 Juta",LT300 m²,SHM,,,,"Johar Baru, Jakarta Pusat",Jakarta Pusat,johar baru,
,"Tanah Kawasan Tanah Abang, Luas 553m², Lokasi Strategis, Kawasan Nyaman",Rp46 Miliar Total,"Harga per m² Rp.83,1 Juta",LT553 m²,Lainnya,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"HOT DEAL! Tanah Kawasan Menteng, Luas 529m², Lokasi Premium","Rp22,5 Miliar Total",lebih hemat,LT529 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Kawasan Menteng, Luas 3465m², Area Potensial, Dekat Menteng, Jakarta Pusat, Jakarta Pusat",Rp550 Miliar Total,Harga per m² Rp.158 Juta,LT3465 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"HOT DEAL! Tanah di Karet Tengsin, Luas 4819m², Area Strategis",Rp240 Miliar Total,Harga per m² Rp.50 Juta,LT4819 m²,SHM,,,,"Karet Tengsin, Jakarta Pusat",Jakarta Pusat,tanah abang,
,"Tanah Premium Kawasan Cideng, Luas 1669m², Ideal untuk Investasi",Rp49 Miliar Total,lebih hemat,LT1669 m²,Lainnya,,,,"Cideng, Jakarta Pusat",Jakarta Pusat,gambir,
,"HARGA MENARIK! Tanah di Menteng, Luas 321m², Lokasi Berkembang, Bebas Banjir",Rp25 Miliar Total,"Harga per m² Rp.77,8 Juta",LT321 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Premium di Menteng, Luas 1626m², Ideal untuk Perumahan",Rp250 Miliar Total,Harga per m² Rp.153 Juta,LT1626 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Area Berkembang Kawasan Cempaka Putih, Luas 408m², Akses ke Pusat Kota, Akses Cempaka Putih, Jakarta Pusat, Jakarta Pusat","Rp13,8 Miliar Total",Harga per m² Rp.34 Juta,LT408 m²,Lainnya,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"AREA PROSPEKTIF! Tanah di Menteng, Luas 878m², Dekat Fasilitas Umum, Kawasan Potensial",Rp34 Miliar Total,lebih hemat,LT878 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"AREA PROSPEKTIF! Tanah Kawasan Pangeran Jayakarta, Luas 2801m², Dekat Transportasi",Rp110 Miliar Total,"Harga per m² Rp.39,2 Juta",LT2801 m²,Lainnya,,,,"Pangeran Jayakarta, Jakarta Pusat",Jakarta Pusat,Pangeran Jayakarta,
,"Jual Tanah Area Strategis di Bendungan Hilir, Luas 600m², Prospek Tinggi","Rp12,5 Miliar Total","Harga per m² Rp.20,8 Juta",LT600 m²,SHM,,,,"Bendungan Hilir, Jakarta Pusat",Jakarta Pusat,tanah abang,
,"Dijual Tanah Area Prospektif Kawasan Cempaka Putih, Luas 161m², Dekat Cempaka Putih, Jakarta Pusat, Jakarta Pusat","Rp3,49 Miliar Total","Harga per m² Rp.21,7 Juta",LT161 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"Jual Tanah Area Berkembang Kawasan Senayan, Luas 602m², Dekat Senayan, Jakarta Pusat, Jakarta Pusat","Rp12,6 Miliar Total",Harga per m² Rp.21 Juta,LT602 m²,SHM,,,,"Senayan, Jakarta Pusat",Jakarta Pusat,Senayan,
,"Tanah di Cempaka Putih, Luas 479m², Lokasi Premium, Ideal untuk Perumahan",Rp11 Miliar Total,lebih hemat,LT479 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"PENAWARAN MENARIK! Tanah Kawasan Senayan, Luas 1582m², Lokasi Strategis","Rp59,3 Miliar Total","Harga per m² Rp.37,5 Juta",LT1582 m²,SHM,,,,"Senayan, Jakarta Pusat",Jakarta Pusat,Senayan,
,"Tanah Kawasan Senayan, Luas 1582m², Kawasan Berkembang, Dekat Senayan, Jakarta Pusat, Jakarta Pusat","Rp59,3 Miliar Total","Harga per m² Rp.37,5 Juta",LT1582 m²,SHM,,,,"Senayan, Jakarta Pusat",Jakarta Pusat,Senayan,
,"Tanah Kawasan Petojo, Luas 589m², Area Strategis, Kawasan Nyaman",Rp22 Miliar Total,"Harga per m² Rp.37,3 Juta",LT589 m²,SHM,,,,"Petojo, Jakarta Pusat",Jakarta Pusat,Petojo,
,"Tanah Premium Kawasan Senen, Luas 4241m², Cocok untuk Perumahan",Rp159 Miliar Total,"Harga per m² Rp.37,5 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Kawasan Menteng, Luas 996m², Area Strategis, Kawasan Asri","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Komersial di Tanah Abang, Luas 373m2m², Pinggir Jalan","Rp3,9 Miliar Total",-17%,LT373 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"For Sale Tanah di Menteng, Luas 1192m2m², Lokasi Potensial","Rp65,5 Miliar Total",lebih hemat,LT1192 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Lokasi Potensial di Senen, Luas 9819m2m², Dekat ke Fasilitas, Lingkungan Asri",Rp206 Miliar Total,Harga per m² Rp.21 Juta,LT9819 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Area Potensial Kawasan Tanah Abang, Luas 204m², Lingkungan Nyaman, Akses Tanah Abang, Jakarta Pusat, Jakarta Pusat","Rp10,2 Miliar Total",Harga per m² Rp.50 Juta,LT204 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"Tanah di Gunung Sahari, Luas 2260m², Lokasi Strategis",Rp62 Miliar Total,"Harga per m² Rp.27,4 Juta",LT2260 m²,Lainnya,,,,"Gunung Sahari, Jakarta Pusat",Jakarta Pusat,Gunung Sahari,
,"Tanah Bisnis di Menteng, Luas 1000m², Akses Mudah",Rp55 Miliar Total,lebih hemat,LT1000 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Jual Tanah di Salemba, Luas 1040m², Dekat Fasilitas Umum",Rp27 Miliar Total,"Harga per m² Rp.25,9 Juta",LT1040 m²,SHM,,,,"Salemba, Jakarta Pusat",Jakarta Pusat,Salemba,
,"HOT DEAL! Tanah di Sawah Besar, Luas 2269m², Lokasi Premium",Rp65 Miliar Total,"Harga per m² Rp.28,6 Juta",LT2269 m²,SHM,,,,"Sawah Besar, Jakarta Pusat",Jakarta Pusat,Sawah Besar,
,"HARGA TERBAIK! Tanah Kawasan Gajah Mada, Luas 400m², Dekat Jalan Raya, Cocok untuk Investasi",Rp8 Miliar Total,Harga per m² Rp.20 Juta,LT400 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Tanah Strategis di Menteng, Luas 1088m², Akses Menteng, Jakarta Pusat, Jakarta Pusat",Rp78 Miliar Total,lebih hemat,LT1088 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"For Sale Tanah di Cikini, Luas 716m², Dekat Cikini, Jakarta Pusat, Jakarta Pusat","Rp18,5 Miliar Total",lebih hemat,LT716 m²,SHM,,,,"Cikini, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Area Berkembang di Kemayoran, Luas 4735m², Lingkungan Asri, Dekat Kemayoran, Jakarta Pusat, Jakarta Pusat",Rp236 Miliar Total,Harga per m² Rp.50 Juta,LT4735 m²,Lainnya,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"HOT DEAL! Tanah Kawasan Pangeran Jayakarta, Luas 726m², Lokasi Strategis","Rp23,2 Miliar Total",Harga per m² Rp.32 Juta,LT726 m²,Lainnya,,,,"Pangeran Jayakarta, Jakarta Pusat",Jakarta Pusat,Pangeran Jayakarta,
,"Tanah di , Luas 3593m2m², Lokasi Premium, Potensi Bagus",Rp145 Miliar Total,"Harga per m² Rp.40,4 Juta",LT3593 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Tanah Strategis di , Luas 13913m2m², Akses Jakarta Pusat, Jakarta Pusat",Rp361 Miliar Total,lebih hemat,LT13913 m²,SHM,,,,"Hayam Wuruk, Jakarta Pusat",Jakarta Pusat,Hayam Wuruk,
,"AREA PROSPEKTIF! Tanah Kawasan Menteng, Luas 996m², Dekat Fasilitas Umum, Kawasan Potensial","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"PRIME LOCATION! Tanah di Menteng, Luas 996m², Cocok untuk Investasi","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Lokasi Strategis di Cideng, Luas 247m², Dekat ke Pusat Kota, Lingkungan Asri","Rp5,7 Miliar Total",Harga per m² Rp.23 Juta,LT247 m²,SHM,,,,"Cideng, Jakarta Pusat",Jakarta Pusat,gambir,
,"PRIME LOCATION! Tanah Kawasan Menteng, Luas 510m², Cocok untuk Investasi",Rp45 Miliar Total,"Harga per m² Rp.88,2 Juta",LT510 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Dijual Tanah Area Potensial di Cideng, Luas 450m², Akses Fasilitas Umum",Rp18 Miliar Total,Harga per m² Rp.40 Juta,LT450 m²,SHM,,,,"Cideng, Jakarta Pusat",Jakarta Pusat,gambir,
,"Tanah Kawasan Gunung Sahari, Luas 1800m², Area Komersial",Rp60 Miliar Total,"Harga per m² Rp.33,3 Juta",LT1800 m²,SHM,,,,"Gunung Sahari, Jakarta Pusat",Jakarta Pusat,Gunung Sahari,
,"Dijual Tanah Lokasi Prima di Cideng, Luas 460m², Dekat Cideng, Jakarta Pusat, Jakarta Pusat",Rp16 Miliar Total,"Harga per m² Rp.34,7 Juta",LT460 m²,SHM,,,,"Cideng, Jakarta Pusat",Jakarta Pusat,gambir,
,"Tanah Kawasan Menteng, Luas 263m², Lokasi Strategis, Kawasan Nyaman, Bebas Banjir","Rp26,3 Miliar Total",Harga per m² Rp.100 Juta,LT263 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Dijual Tanah Kawasan Menteng, Luas 1000m², Lingkungan Nyaman",Rp55 Miliar Total,lebih hemat,LT1000 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"POTENSIAL! Tanah Kawasan Menteng, Luas 996m², Lokasi Strategis","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Area Potensial Kawasan Thamrin, Luas 774m², Akses ke Fasilitas Umum","Rp17,5 Miliar Total","Harga per m² Rp.22,6 Juta",LT774 m²,Lainnya,,,,"Thamrin, Jakarta Pusat",Jakarta Pusat,Thamrin,
,"HARGA TERBAIK! Tanah Kawasan Sumur Batu, Luas 264m², Akses Mudah, Cocok untuk Investasi","Rp5,5 Miliar Total","Harga per m² Rp.20,8 Juta",LT264 m²,SHM,,,,"Sumur Batu, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"Dijual Tanah Area Berkembang Kawasan Tanah Abang, Luas 598m², Dekat Tanah Abang, Jakarta Pusat, Jakarta Pusat","Rp28,7 Miliar Total",Harga per m² Rp.48 Juta,LT598 m²,HGB,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"Dijual Tanah Kawasan Kemayoran, Luas 828m², Lingkungan Nyaman","Rp9,7 Miliar Total","Harga per m² Rp.11,7 Juta",LT828 m²,SHM,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"Tanah Lokasi Potensial Kawasan Petojo, Luas 460m², Dekat ke Fasilitas",Rp17 Miliar Total,"Harga per m² Rp.36,9 Juta",LT460 m²,SHM,,,,"Petojo, Jakarta Pusat",Jakarta Pusat,Petojo,
,"AREA PROSPEKTIF! Tanah Kawasan Pangeran Jayakarta, Luas 2801m², Dekat Transportasi",Rp110 Miliar Total,"Harga per m² Rp.39,2 Juta",LT2801 m²,Lainnya,,,,"Pangeran Jayakarta, Jakarta Pusat",Jakarta Pusat,Pangeran Jayakarta,
,"Jual Tanah Area Strategis di Bendungan Hilir, Luas 600m², Prospek Tinggi","Rp12,5 Miliar Total","Harga per m² Rp.20,8 Juta",LT600 m²,SHM,,,,"Bendungan Hilir, Jakarta Pusat",Jakarta Pusat,tanah abang,
,"Dijual Tanah Area Prospektif Kawasan Cempaka Putih, Luas 161m², Dekat Cempaka Putih, Jakarta Pusat, Jakarta Pusat","Rp3,49 Miliar Total","Harga per m² Rp.21,7 Juta",LT161 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"Jual Tanah Area Berkembang Kawasan Senayan, Luas 602m², Dekat Senayan, Jakarta Pusat, Jakarta Pusat","Rp12,6 Miliar Total",Harga per m² Rp.21 Juta,LT602 m²,SHM,,,,"Senayan, Jakarta Pusat",Jakarta Pusat,Senayan,
,"Tanah di Cempaka Putih, Luas 479m², Lokasi Premium, Ideal untuk Perumahan",Rp11 Miliar Total,lebih hemat,LT479 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"PENAWARAN MENARIK! Tanah Kawasan Senayan, Luas 1582m², Lokasi Strategis","Rp59,3 Miliar Total","Harga per m² Rp.37,5 Juta",LT1582 m²,SHM,,,,"Senayan, Jakarta Pusat",Jakarta Pusat,Senayan,
,"Tanah Kawasan Senayan, Luas 1582m², Kawasan Berkembang, Dekat Senayan, Jakarta Pusat, Jakarta Pusat","Rp59,3 Miliar Total","Harga per m² Rp.37,5 Juta",LT1582 m²,SHM,,,,"Senayan, Jakarta Pusat",Jakarta Pusat,Senayan,
,"Tanah Kawasan Petojo, Luas 589m², Area Strategis, Kawasan Nyaman",Rp22 Miliar Total,"Harga per m² Rp.37,3 Juta",LT589 m²,SHM,,,,"Petojo, Jakarta Pusat",Jakarta Pusat,Petojo,
,"Tanah Premium Kawasan Senen, Luas 4241m², Cocok untuk Perumahan",Rp159 Miliar Total,"Harga per m² Rp.37,5 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Kawasan Menteng, Luas 996m², Area Strategis, Kawasan Asri","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Komersial di Tanah Abang, Luas 373m2m², Pinggir Jalan","Rp3,9 Miliar Total",-17%,LT373 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"For Sale Tanah di Menteng, Luas 1192m2m², Lokasi Potensial","Rp65,5 Miliar Total",lebih hemat,LT1192 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Lokasi Potensial di Senen, Luas 9819m2m², Dekat ke Fasilitas, Lingkungan Asri",Rp206 Miliar Total,Harga per m² Rp.21 Juta,LT9819 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Area Potensial Kawasan Tanah Abang, Luas 204m², Lingkungan Nyaman, Akses Tanah Abang, Jakarta Pusat, Jakarta Pusat","Rp10,2 Miliar Total",Harga per m² Rp.50 Juta,LT204 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"Tanah di Gunung Sahari, Luas 2260m², Lokasi Strategis",Rp62 Miliar Total,"Harga per m² Rp.27,4 Juta",LT2260 m²,Lainnya,,,,"Gunung Sahari, Jakarta Pusat",Jakarta Pusat,Gunung Sahari,
,"Tanah Bisnis di Menteng, Luas 1000m², Akses Mudah",Rp55 Miliar Total,lebih hemat,LT1000 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Jual Tanah di Salemba, Luas 1040m², Dekat Fasilitas Umum",Rp27 Miliar Total,"Harga per m² Rp.25,9 Juta",LT1040 m²,SHM,,,,"Salemba, Jakarta Pusat",Jakarta Pusat,Salemba,
,"HOT DEAL! Tanah di Sawah Besar, Luas 2269m², Lokasi Premium",Rp65 Miliar Total,"Harga per m² Rp.28,6 Juta",LT2269 m²,SHM,,,,"Sawah Besar, Jakarta Pusat",Jakarta Pusat,Sawah Besar,
,"HARGA TERBAIK! Tanah Kawasan Gajah Mada, Luas 400m², Dekat Jalan Raya, Cocok untuk Investasi",Rp8 Miliar Total,Harga per m² Rp.20 Juta,LT400 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Tanah Strategis di Menteng, Luas 1088m², Akses Menteng, Jakarta Pusat, Jakarta Pusat",Rp78 Miliar Total,lebih hemat,LT1088 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
